	21779	27471	32399	509658	516575	Total
dramaa	0	0	0	0	1	1
frame	0	0	0	0	1	1
pausershype	0	0	0	0	1	1
sliglove	0	0	0	0	1	1
melting	0	0	0	0	1	1
koi	0	0	0	0	1	1
baited	0	0	0	0	1	1
ghost	0	0	0	0	1	1
flux	0	0	0	0	1	1
aimlabs	0	0	0	0	1	1
wallah	0	0	0	0	1	1
lee	1	0	0	0	0	1
toplaners	1	0	0	0	0	1
jugando	1	0	0	0	0	1
estan	1	0	0	0	0	1
minute	1	0	0	0	0	1
flip	1	0	0	0	0	1
polaco	1	0	0	0	0	1
acento	1	0	0	0	0	1
yassine	0	0	0	0	1	1
ardiisw	0	0	0	0	1	1
showmatch	0	0	0	0	1	1
fc	0	0	0	0	1	1
ends	0	0	0	0	1	1
esex	0	0	0	0	1	1
wallahi	0	0	0	0	1	1
lmdfaooaoaoaaoa	0	0	0	0	1	1
tongue	0	0	0	0	1	1
imma	0	0	0	0	1	1
remembered	0	0	0	0	1	1
ear	0	0	0	0	1	1
corner	0	0	0	0	1	1
dragged	0	0	0	0	1	1
roza	0	0	0	0	1	1
tension	0	0	0	0	1	1
sexual	0	0	0	0	1	1
flash	0	0	0	0	1	1
astagferollah	0	0	0	0	1	1
passes	0	0	0	0	1	1
giveway	0	0	0	0	1	1
omdf	0	0	0	0	1	1
tyty	0	0	0	0	1	1
pass	0	0	0	0	1	1
es	1	0	0	0	0	1
nauseabundo	1	0	0	0	0	1
grotesco	1	0	0	0	0	1
todays	1	0	0	0	0	1
disaster	1	0	0	0	0	1
thosewhoslow	1	0	0	0	0	1
pickle	0	0	0	0	1	1
swarm	0	0	0	0	1	1
rep	0	0	0	0	1	1
hypothetical	0	0	0	0	1	1
noeigg	0	0	0	0	1	1
lmfaoaoa	0	0	0	0	1	1
sounding	0	0	0	0	1	1
likes	0	0	0	0	1	1
slide	0	0	0	0	1	1
bc	0	0	0	0	1	1
ripping	0	0	0	0	1	1
twitlonger	0	0	0	0	1	1
xd	0	0	0	0	1	1
mprooco	0	0	0	0	1	1
ahmed	0	0	0	0	1	1
happned	0	0	0	0	1	1
trhow	0	0	0	0	1	1
hela	0	0	0	0	1	1
fannane_a	0	0	0	0	1	1
selling	0	0	0	0	1	1
keyboard	0	0	0	0	1	1
ev	0	0	0	0	1	1
familiar	0	0	0	0	1	1
souunds	0	0	0	0	1	1
landed	0	0	0	0	1	1
pace	0	0	0	0	1	1
cries	0	0	0	0	1	1
baits	0	0	0	0	1	1
burgers	0	0	0	0	1	1
friendlier	0	0	0	0	1	1
cheerful	0	0	0	0	1	1
awful	0	0	0	0	1	1
confirm	0	0	0	0	1	1
cosplay	0	0	0	0	1	1
trainwrecks	0	0	0	0	1	1
lolmao	0	0	0	0	1	1
eh	0	0	0	0	1	1
train	0	0	0	0	1	1
ermshakey	1	0	0	0	0	1
ermbed	1	0	0	0	0	1
zermnyas	1	0	0	0	0	1
asrock	0	0	0	0	1	1
motherboard	0	0	0	0	1	1
graphite	0	0	0	0	1	1
terra	0	0	0	0	1	1
fractal	0	0	0	0	1	1
catspin	0	0	0	0	1	1
happands	0	0	0	0	1	1
aspas	0	0	0	0	1	1
carefuly	0	0	0	0	1	1
unfortunate	0	0	0	0	1	1
september	0	0	0	0	1	1
born	0	0	0	0	1	1
scoped	0	0	0	0	1	1
amd	0	0	0	0	1	1
cpu	0	0	0	0	1	1
wifi	0	0	0	0	1	1
lightning	0	0	0	0	1	1
bi	0	0	0	0	1	1
mmr	1	0	0	0	0	1
wideerm	1	0	0	0	0	1
toplanerm	1	0	0	0	0	1
progoterm	1	0	0	0	0	1
firsttimeermer	1	0	0	0	0	1
chatterm	1	0	0	0	0	1
caterm	1	0	0	0	0	1
veljerm	1	0	0	0	0	1
terminator	1	0	0	0	0	1
heserm	1	0	0	0	0	1
gwerm	1	0	0	0	0	1
camp	0	0	0	0	1	1
temetholiday	0	0	0	0	1	1
raises	0	0	0	0	1	1
exhausting	0	0	0	0	1	1
pst	0	0	0	0	1	1
pwm	0	0	0	0	1	1
arctic	0	0	0	0	1	1
rtx	0	0	0	0	1	1
performance	0	0	0	0	1	1
igital	0	0	0	0	1	1
storage	0	0	0	0	1	1
xg	0	0	0	0	1	1
gb	0	0	0	0	1	1
vengeance	0	0	0	0	1	1
ramsadorsair	0	0	0	0	1	1
ryzen	0	0	0	0	1	1
quit	0	0	0	0	1	1
temetlove	0	0	0	0	1	1
london	0	0	0	0	1	1
rotting	0	0	0	0	1	1
pov	0	0	0	0	1	1
horcus	0	0	0	0	1	1
temmet	0	0	0	0	1	1
radiant	0	0	0	0	1	1
sheer	0	0	0	0	1	1
plauers	0	0	0	0	1	1
babies	0	0	0	0	1	1
feels	0	0	0	0	1	1
hide	0	0	0	0	1	1
complains	0	0	0	0	1	1
temets	0	0	0	0	1	1
stinkyglitch	0	0	0	0	1	1
raepanic	0	0	0	0	1	1
air	0	0	0	0	1	1
kick	0	0	0	0	1	1
worked	0	0	0	0	1	1
guns	0	0	0	0	1	1
clove	0	0	0	0	1	1
instatilting	0	0	0	0	1	1
queuing	0	0	0	0	1	1
positivity	0	0	0	0	1	1
bundle	0	0	0	0	1	1
giveback	0	0	0	0	1	1
recommend	0	0	0	0	1	1
hellish	0	0	0	0	1	1
suffering	0	0	0	0	1	1
vp	0	0	0	0	1	1
neon	0	0	0	0	1	1
spidy	0	0	0	0	1	1
multiverse	0	0	0	0	1	1
spidermans	0	0	0	0	1	1
otehrs	0	0	0	0	1	1
switch	0	0	0	0	1	1
late	0	0	0	0	1	1
blocks	0	0	0	0	1	1
pad	0	0	0	0	1	1
suh	0	0	0	0	1	1
health	0	0	0	0	1	1
limit	0	0	0	0	1	1
spit	0	0	0	0	1	1
bullets	0	0	0	0	1	1
spoodermain	0	0	0	0	1	1
dinkdonk	0	0	0	0	1	1
raemhm	0	0	0	0	1	1
distance	0	0	0	0	1	1
smell	0	0	0	0	1	1
fluids	0	0	0	0	1	1
infinite	0	0	0	0	1	1
ermdeluxe	1	0	0	0	0	1
mre	1	0	0	0	0	1
alveusppeh	0	0	0	0	1	1
erminem	1	0	0	0	0	1
ermgun	1	0	0	0	0	1
ermgnite	1	0	0	0	0	1
ermgi	1	0	0	0	0	1
ermgamba	1	0	0	0	0	1
ermexplode	1	0	0	0	0	1
ermdra	1	0	0	0	0	1
ermdonalds	1	0	0	0	0	1
ermactually	1	0	0	0	0	1
mechanics	0	0	0	0	1	1
realized	0	0	0	0	1	1
learning	0	0	0	0	1	1
ermsuo	1	0	0	0	0	1
ermshield	1	0	0	0	0	1
ermport	1	0	0	0	0	1
ermking	1	0	0	0	0	1
ermki	1	0	0	0	0	1
ermjais	1	0	0	0	0	1
twins	0	0	0	0	1	1
overstimulated	0	0	0	0	1	1
harder	0	0	0	0	1	1
ogo	0	0	0	0	1	1
ropes	0	0	0	0	1	1
died	0	0	0	0	1	1
pepemeltdown	0	0	0	0	1	1
